ID,category,average_score
0,Amazon Devices & Accessories,3.7
1,Amazon Devices & Accessories,3.1
2,Amazon Devices & Accessories,3.0
3,Amazon Devices & Accessories,2.9
4,Amazon Devices & Accessories,4.1
5,Amazon Devices & Accessories,4.0
6,Amazon Devices & Accessories,3.3
7,Amazon Devices & Accessories,3.4
8,Amazon Devices & Accessories,3.0
9,Amazon Devices & Accessories,3.0
10,Amazon Devices & Accessories,2.8
11,Amazon Devices & Accessories,4.5
12,Amazon Devices & Accessories,3.5
13,Amazon Devices & Accessories,3.9
14,Amazon Devices & Accessories,4.0
15,Amazon Devices & Accessories,2.7
16,Amazon Devices & Accessories,3.8
17,Amazon Devices & Accessories,5.0
18,Amazon Devices & Accessories,3.3
19,Amazon Devices & Accessories,3.4
20,Amazon Devices & Accessories,4.2
21,Amazon Devices & Accessories,4.6
22,Amazon Devices & Accessories,3.8
23,Amazon Devices & Accessories,2.3
24,Amazon Devices & Accessories,3.7
25,Amazon Devices & Accessories,3.6
26,Amazon Devices & Accessories,5.0
27,Amazon Devices & Accessories,3.3
28,Amazon Devices & Accessories,2.6
29,Amazon Devices & Accessories,4.1
30,Amazon Devices & Accessories,4.2
31,Amazon Devices & Accessories,5.0
32,Amazon Devices & Accessories,2.6
33,Amazon Devices & Accessories,3.5
34,Amazon Devices & Accessories,3.4
35,Amazon Devices & Accessories,3.0
36,Amazon Devices & Accessories,3.8
37,Amazon Devices & Accessories,3.9
38,Amazon Devices & Accessories,3.5
39,Amazon Devices & Accessories,3.5
40,Amazon Devices & Accessories,2.8
41,Amazon Devices & Accessories,4.7
42,Amazon Devices & Accessories,3.7
43,Amazon Devices & Accessories,4.2
44,Amazon Devices & Accessories,3.8
45,Amazon Devices & Accessories,3.3
46,Amazon Devices & Accessories,4.0
47,Amazon Devices & Accessories,4.7
48,Amazon Devices & Accessories,3.4
49,Amazon Devices & Accessories,1.8
50,Amazon Explore,5.0
51,Amazon Explore,5.0
52,Amazon Explore,5.0
53,Amazon Explore,5.0
54,Amazon Explore,4.9
55,Amazon Explore,4.6
56,Amazon Explore,5.0
57,Amazon Explore,5.0
58,Amazon Explore,5.0
59,Amazon Explore,5.0
60,Amazon Explore,5.0
61,Amazon Explore,4.8
62,Amazon Explore,4.7
63,Amazon Explore,5.0
64,Amazon Explore,5.0
65,Amazon Explore,5.0
66,Amazon Explore,5.0
67,Amazon Explore,4.0
68,Amazon Explore,5.0
69,Amazon Explore,5.0
70,Amazon Explore,5.0
71,Amazon Explore,4.9
72,Amazon Explore,5.0
73,Amazon Explore,4.833333333333333
74,Amazon Explore,5.0
75,Amazon Explore,4.4
76,Amazon Explore,5.0
77,Amazon Explore,5.0
78,Amazon Explore,5.0
79,Amazon Explore,4.4
80,Amazon Launchpad,5.0
81,Amazon Launchpad,4.4
82,Amazon Launchpad,5.0
83,Amazon Launchpad,3.4
84,Amazon Launchpad,4.2
85,Amazon Launchpad,4.4
86,Amazon Launchpad,5.0
87,Amazon Launchpad,0.0
88,Amazon Launchpad,4.9
89,Amazon Launchpad,3.6
90,Amazon Launchpad,3.8
91,Amazon Launchpad,3.6
92,Amazon Launchpad,4.6
93,Amazon Launchpad,3.9
94,Amazon Launchpad,3.2
95,Amazon Launchpad,5.0
96,Amazon Launchpad,4.5
97,Amazon Launchpad,4.6
98,Amazon Launchpad,4.5
99,Amazon Launchpad,3.9
100,Amazon Launchpad,5.0
101,Amazon Launchpad,4.9
102,Amazon Launchpad,4.5
103,Amazon Launchpad,4.6
104,Amazon Launchpad,4.1
105,Amazon Launchpad,4.6
106,Amazon Launchpad,4.8
107,Amazon Launchpad,2.7
108,Amazon Launchpad,4.0
109,Amazon Launchpad,3.5
110,Appliances,4.2
111,Appliances,4.1
112,Appliances,4.1
113,Appliances,5.0
114,Appliances,4.8
115,Appliances,5.0
116,Appliances,3.7
117,Appliances,3.2
118,Appliances,4.6
119,Appliances,5.0
120,Appliances,4.3
121,Appliances,4.1
122,Appliances,4.6
123,Appliances,4.1
124,Appliances,5.0
125,Appliances,3.9
126,Appliances,4.2
127,Appliances,3.6
128,Appliances,5.0
129,Appliances,4.9
130,Appliances,4.9
131,Appliances,4.8
132,Appliances,5.0
133,Appliances,4.9
134,Appliances,4.9
135,Appliances,4.7
136,Appliances,5.0
137,Appliances,0.0
138,Appliances,5.0
139,Appliances,5.0
140,Apps & Games,5.0
141,Apps & Games,4.6
142,Apps & Games,1.0
143,Apps & Games,4.6
144,Apps & Games,1.4
145,Apps & Games,1.0
146,Apps & Games,1.0
147,Apps & Games,5.0
148,Apps & Games,1.0
149,Apps & Games,3.0
150,Apps & Games,1.0
151,Apps & Games,1.0
152,Apps & Games,1.1
153,Apps & Games,1.0
154,Apps & Games,2.2
155,Apps & Games,4.9
156,Apps & Games,5.0
157,Apps & Games,1.1
158,Apps & Games,2.0
159,Apps & Games,5.0
160,Apps & Games,4.6
161,Apps & Games,1.0
162,Apps & Games,5.0
163,Apps & Games,1.0
164,Apps & Games,1.1
165,Apps & Games,1.4
166,Apps & Games,1.0
167,Apps & Games,5.0
168,Apps & Games,2.7777777777777777
169,Apps & Games,1.5
170,"Arts, Crafts & Sewing",5.0
171,"Arts, Crafts & Sewing",4.6
172,"Arts, Crafts & Sewing",5.0
173,"Arts, Crafts & Sewing",5.0
174,"Arts, Crafts & Sewing",5.0
175,"Arts, Crafts & Sewing",5.0
176,"Arts, Crafts & Sewing",5.0
177,"Arts, Crafts & Sewing",4.7
178,"Arts, Crafts & Sewing",4.7
179,"Arts, Crafts & Sewing",4.3
180,"Arts, Crafts & Sewing",4.9
181,"Arts, Crafts & Sewing",4.8
182,"Arts, Crafts & Sewing",4.9
183,"Arts, Crafts & Sewing",5.0
184,"Arts, Crafts & Sewing",3.7
185,"Arts, Crafts & Sewing",5.0
186,"Arts, Crafts & Sewing",5.0
187,"Arts, Crafts & Sewing",4.9
188,"Arts, Crafts & Sewing",4.9
189,"Arts, Crafts & Sewing",4.8
190,"Arts, Crafts & Sewing",5.0
191,"Arts, Crafts & Sewing",4.9
192,"Arts, Crafts & Sewing",5.0
193,"Arts, Crafts & Sewing",4.9
194,"Arts, Crafts & Sewing",5.0
195,"Arts, Crafts & Sewing",0.0
196,"Arts, Crafts & Sewing",4.7
197,"Arts, Crafts & Sewing",4.6
198,"Arts, Crafts & Sewing",5.0
199,"Arts, Crafts & Sewing",4.8
200,Audible Books & Originals,2.8
201,Audible Books & Originals,5.0
202,Audible Books & Originals,2.7
203,Audible Books & Originals,3.3
204,Audible Books & Originals,4.4
205,Audible Books & Originals,4.625
206,Audible Books & Originals,3.3
207,Audible Books & Originals,4.4
208,Audible Books & Originals,3.4
209,Audible Books & Originals,4.3
210,Audible Books & Originals,2.8
211,Audible Books & Originals,3.5
212,Audible Books & Originals,4.7
213,Audible Books & Originals,4.8
214,Audible Books & Originals,4.0
215,Audible Books & Originals,4.6
216,Audible Books & Originals,4.6
217,Audible Books & Originals,4.6
218,Audible Books & Originals,4.7
219,Audible Books & Originals,3.2
220,Audible Books & Originals,4.0
221,Audible Books & Originals,3.4
222,Audible Books & Originals,3.6
223,Audible Books & Originals,0.0
224,Audible Books & Originals,4.6
225,Audible Books & Originals,4.4
226,Audible Books & Originals,2.7
227,Audible Books & Originals,4.8
228,Audible Books & Originals,4.75
229,Audible Books & Originals,4.7
230,Automotive,4.3
231,Automotive,2.7
232,Automotive,4.2
233,Automotive,3.8
234,Automotive,4.3
235,Automotive,3.4
236,Automotive,3.0
237,Automotive,4.5
238,Automotive,4.8
239,Automotive,4.7
240,Automotive,3.8
241,Automotive,3.8
242,Automotive,4.6
243,Automotive,4.8
244,Automotive,3.2
245,Automotive,3.4
246,Automotive,4.7
247,Automotive,4.0
248,Automotive,4.3
249,Automotive,4.7
250,Automotive,5.0
251,Automotive,4.2
252,Automotive,4.1
253,Automotive,4.6
254,Automotive,4.6
255,Automotive,4.8
256,Automotive,5.0
257,Automotive,3.4
258,Automotive,0.0
259,Automotive,5.0
260,Baby,3.2
261,Baby,2.1
262,Baby,0.0
263,Baby,3.1
264,Baby,4.5
265,Baby,4.8
266,Baby,5.0
267,Baby,4.1
268,Baby,4.1
269,Baby,4.2
270,Baby,4.1
271,Baby,4.1
272,Baby,3.7
273,Baby,5.0
274,Baby,3.4
275,Baby,3.6
276,Baby,4.6
277,Baby,4.2
278,Baby,4.6
279,Baby,4.6
280,Baby,3.0
281,Baby,3.8
282,Baby,4.4
283,Baby,4.2
284,Baby,4.5
285,Baby,4.4
286,Baby,4.4
287,Baby,4.6
288,Baby,4.4
289,Baby,4.6
290,Beauty & Personal Care,4.2
291,Beauty & Personal Care,3.8
292,Beauty & Personal Care,4.4
293,Beauty & Personal Care,0.0
294,Beauty & Personal Care,4.5
295,Beauty & Personal Care,4.2
296,Beauty & Personal Care,5.0
297,Beauty & Personal Care,5.0
298,Beauty & Personal Care,2.5
299,Beauty & Personal Care,0.0
300,Beauty & Personal Care,5.0
301,Beauty & Personal Care,4.7
302,Beauty & Personal Care,3.1
303,Beauty & Personal Care,0.0
304,Beauty & Personal Care,5.0
305,Beauty & Personal Care,5.0
306,Beauty & Personal Care,0.0
307,Beauty & Personal Care,5.0
308,Beauty & Personal Care,4.9
309,Beauty & Personal Care,5.0
310,Beauty & Personal Care,2.6
311,Beauty & Personal Care,4.6
312,Beauty & Personal Care,0.0
313,Beauty & Personal Care,3.0
314,Beauty & Personal Care,3.8
315,Beauty & Personal Care,3.0
316,Beauty & Personal Care,3.4
317,Beauty & Personal Care,5.0
318,Beauty & Personal Care,4.6
319,Beauty & Personal Care,4.6
320,Books,2.7
321,Books,2.9
322,Books,2.8
323,Books,3.5
324,Books,4.0
325,Books,5.0
326,Books,5.0
327,Books,3.3
328,Books,3.1
329,Books,3.3
330,Books,2.5
331,Books,4.2
332,Books,4.6
333,Books,5.0
334,Books,2.7
335,Books,2.7
336,Books,3.2
337,Books,3.2
338,Books,5.0
339,Books,4.6
340,Books,3.4
341,Books,4.4
342,Books,4.7
343,Books,4.8
344,Books,2.9
345,Books,5.0
346,Books,4.7
347,Books,4.3
348,Books,4.3
349,Books,2.8
350,Camera & Photo Products,3.7
351,Camera & Photo Products,3.7
352,Camera & Photo Products,5.0
353,Camera & Photo Products,3.6
354,Camera & Photo Products,3.3
355,Camera & Photo Products,3.5
356,Camera & Photo Products,5.0
357,Camera & Photo Products,4.6
358,Camera & Photo Products,5.0
359,Camera & Photo Products,5.0
360,Camera & Photo Products,0.0
361,Camera & Photo Products,2.3
362,Camera & Photo Products,0.0
363,Camera & Photo Products,2.4
364,Camera & Photo Products,3.0
365,Camera & Photo Products,4.9
366,Camera & Photo Products,2.9
367,Camera & Photo Products,4.9
368,Camera & Photo Products,4.0
369,Camera & Photo Products,3.4
370,Camera & Photo Products,3.3
371,Camera & Photo Products,3.8
372,Camera & Photo Products,4.4
373,Camera & Photo Products,3.3
374,Camera & Photo Products,5.0
375,Camera & Photo Products,3.0
376,Camera & Photo Products,4.1
377,Camera & Photo Products,5.0
378,Camera & Photo Products,4.6
379,Camera & Photo Products,4.7
380,CDs & Vinyl,5.0
381,CDs & Vinyl,5.0
382,CDs & Vinyl,5.0
383,CDs & Vinyl,5.0
384,CDs & Vinyl,5.0
385,CDs & Vinyl,4.2
386,CDs & Vinyl,5.0
387,CDs & Vinyl,4.9
388,CDs & Vinyl,5.0
389,CDs & Vinyl,5.0
390,CDs & Vinyl,4.6
391,CDs & Vinyl,4.1
392,CDs & Vinyl,4.1
393,CDs & Vinyl,4.1
394,CDs & Vinyl,4.75
395,CDs & Vinyl,4.4
396,CDs & Vinyl,5.0
397,CDs & Vinyl,4.571428571428571
398,CDs & Vinyl,5.0
399,CDs & Vinyl,0.0
400,CDs & Vinyl,5.0
401,CDs & Vinyl,5.0
402,CDs & Vinyl,4.3
403,CDs & Vinyl,4.8
404,CDs & Vinyl,5.0
405,CDs & Vinyl,5.0
406,CDs & Vinyl,5.0
407,CDs & Vinyl,4.777777777777778
408,CDs & Vinyl,5.0
409,CDs & Vinyl,4.3
410,Cell Phones & Accessories,5.0
411,Cell Phones & Accessories,3.4
412,Cell Phones & Accessories,3.9
413,Cell Phones & Accessories,4.9
414,Cell Phones & Accessories,4.5
415,Cell Phones & Accessories,4.6
416,Cell Phones & Accessories,4.9
417,Cell Phones & Accessories,5.0
418,Cell Phones & Accessories,4.1
419,Cell Phones & Accessories,5.0
420,Cell Phones & Accessories,3.9
421,Cell Phones & Accessories,4.7
422,Cell Phones & Accessories,5.0
423,Cell Phones & Accessories,4.6
424,Cell Phones & Accessories,4.5
425,Cell Phones & Accessories,4.3
426,Cell Phones & Accessories,4.2
427,Cell Phones & Accessories,2.6
428,Cell Phones & Accessories,2.3
429,Cell Phones & Accessories,5.0
430,Cell Phones & Accessories,4.6
431,Cell Phones & Accessories,5.0
432,Cell Phones & Accessories,3.2
433,Cell Phones & Accessories,4.6
434,Cell Phones & Accessories,5.0
435,Cell Phones & Accessories,5.0
436,Cell Phones & Accessories,4.3
437,Cell Phones & Accessories,5.0
438,Cell Phones & Accessories,5.0
439,Cell Phones & Accessories,5.0
440,Cell Phones & Accessories,0.0
441,Cell Phones & Accessories,4.2
442,Cell Phones & Accessories,5.0
443,Cell Phones & Accessories,4.9
444,Cell Phones & Accessories,3.4
445,Cell Phones & Accessories,5.0
446,Cell Phones & Accessories,4.0
447,Cell Phones & Accessories,5.0
448,Cell Phones & Accessories,4.6
449,Cell Phones & Accessories,5.0
450,Cell Phones & Accessories,4.6
451,Cell Phones & Accessories,4.8
452,Cell Phones & Accessories,4.1
453,Cell Phones & Accessories,4.6
454,Cell Phones & Accessories,4.3
455,Cell Phones & Accessories,5.0
456,"Clothing, Shoes & Jewelry",4.6
457,"Clothing, Shoes & Jewelry",3.1
458,"Clothing, Shoes & Jewelry",3.7
459,"Clothing, Shoes & Jewelry",3.5
460,"Clothing, Shoes & Jewelry",4.3
461,"Clothing, Shoes & Jewelry",5.0
462,"Clothing, Shoes & Jewelry",2.5
463,"Clothing, Shoes & Jewelry",4.4
464,"Clothing, Shoes & Jewelry",4.4
465,"Clothing, Shoes & Jewelry",2.7
466,"Clothing, Shoes & Jewelry",5.0
467,"Clothing, Shoes & Jewelry",5.0
468,"Clothing, Shoes & Jewelry",4.6
469,"Clothing, Shoes & Jewelry",4.8
470,"Clothing, Shoes & Jewelry",3.8
471,"Clothing, Shoes & Jewelry",5.0
472,"Clothing, Shoes & Jewelry",5.0
473,"Clothing, Shoes & Jewelry",3.5
474,"Clothing, Shoes & Jewelry",4.6
475,"Clothing, Shoes & Jewelry",3.8
476,"Clothing, Shoes & Jewelry",3.2
477,"Clothing, Shoes & Jewelry",4.2
478,"Clothing, Shoes & Jewelry",3.9
479,"Clothing, Shoes & Jewelry",4.9
480,"Clothing, Shoes & Jewelry",4.8
481,"Clothing, Shoes & Jewelry",4.2
482,"Clothing, Shoes & Jewelry",5.0
483,"Clothing, Shoes & Jewelry",4.1
484,"Clothing, Shoes & Jewelry",5.0
485,"Clothing, Shoes & Jewelry",5.0
486,Collectible Coins,2.9
487,Collectible Coins,4.6
488,Collectible Coins,5.0
489,Collectible Coins,5.0
490,Collectible Coins,5.0
491,Collectible Coins,4.5
492,Collectible Coins,4.6
493,Collectible Coins,5.0
494,Collectible Coins,5.0
495,Collectible Coins,5.0
496,Collectible Coins,5.0
497,Collectible Coins,2.8
498,Collectible Coins,5.0
499,Collectible Coins,5.0
500,Collectible Coins,4.8
501,Collectible Coins,5.0
502,Collectible Coins,5.0
503,Collectible Coins,5.0
504,Collectible Coins,5.0
505,Collectible Coins,5.0
506,Collectible Coins,5.0
507,Collectible Coins,4.8
508,Collectible Coins,3.7
509,Collectible Coins,5.0
510,Collectible Coins,5.0
511,Collectible Coins,5.0
512,Collectible Coins,4.9
513,Collectible Coins,3.6666666666666665
514,Collectible Coins,4.5
515,Collectible Coins,4.666666666666667
516,Computers & Accessories,5.0
517,Computers & Accessories,4.1
518,Computers & Accessories,4.8
519,Computers & Accessories,4.8
520,Computers & Accessories,5.0
521,Computers & Accessories,5.0
522,Computers & Accessories,3.0
523,Computers & Accessories,3.8
524,Computers & Accessories,3.7
525,Computers & Accessories,3.5
526,Computers & Accessories,5.0
527,Computers & Accessories,3.0
528,Computers & Accessories,4.7
529,Computers & Accessories,4.2
530,Computers & Accessories,5.0
531,Computers & Accessories,5.0
532,Computers & Accessories,4.2
533,Computers & Accessories,5.0
534,Computers & Accessories,4.2
535,Computers & Accessories,5.0
536,Computers & Accessories,4.9
537,Computers & Accessories,5.0
538,Computers & Accessories,5.0
539,Computers & Accessories,5.0
540,Computers & Accessories,3.3
541,Computers & Accessories,4.7
542,Computers & Accessories,3.2
543,Computers & Accessories,4.8
544,Computers & Accessories,4.8
545,Computers & Accessories,5.0
546,Digital Educational Resources,5.0
547,Digital Educational Resources,0.0
548,Digital Educational Resources,3.6
549,Digital Educational Resources,5.0
550,Digital Educational Resources,3.9
551,Digital Educational Resources,5.0
552,Digital Educational Resources,5.0
553,Digital Educational Resources,3.8
554,Digital Educational Resources,5.0
555,Digital Educational Resources,0.0
556,Digital Educational Resources,4.2
557,Digital Educational Resources,0.0
558,Digital Educational Resources,5.0
559,Digital Educational Resources,0.0
560,Digital Educational Resources,0.0
561,Digital Educational Resources,0.0
562,Digital Educational Resources,4.1
563,Digital Educational Resources,0.0
564,Digital Educational Resources,0.0
565,Digital Educational Resources,5.0
566,Digital Educational Resources,5.0
567,Digital Educational Resources,0.0
568,Digital Educational Resources,4.5
569,Digital Educational Resources,4.3
570,Digital Educational Resources,4.3
571,Digital Educational Resources,5.0
572,Digital Educational Resources,5.0
573,Digital Educational Resources,1.0
574,Digital Educational Resources,5.0
575,Digital Educational Resources,4.8
576,Electronics,3.4
577,Electronics,3.7
578,Electronics,3.1
579,Electronics,2.6
580,Electronics,3.4
581,Electronics,3.0
582,Electronics,3.8
583,Electronics,2.9
584,Electronics,4.1
585,Electronics,4.1
586,Electronics,3.3
587,Electronics,4.1
588,Electronics,3.4
589,Electronics,4.6
590,Electronics,3.7
591,Electronics,4.6
592,Electronics,4.4
593,Electronics,3.0
594,Electronics,4.5
595,Electronics,3.5
596,Electronics,4.6
597,Electronics,4.4
598,Electronics,4.2
599,Electronics,5.0
600,Electronics,3.7
601,Electronics,4.4
602,Electronics,3.7
603,Electronics,4.0
604,Electronics,4.2
605,Electronics,4.0
606,Entertainment Collectibles,1.8
607,Entertainment Collectibles,2.25
608,Entertainment Collectibles,5.0
609,Entertainment Collectibles,5.0
610,Entertainment Collectibles,1.0
611,Entertainment Collectibles,5.0
612,Entertainment Collectibles,0.0
613,Entertainment Collectibles,5.0
614,Entertainment Collectibles,5.0
615,Entertainment Collectibles,4.2
616,Entertainment Collectibles,4.2
617,Entertainment Collectibles,0.0
618,Entertainment Collectibles,5.0
619,Entertainment Collectibles,5.0
620,Entertainment Collectibles,5.0
621,Entertainment Collectibles,4.4
622,Entertainment Collectibles,0.0
623,Entertainment Collectibles,0.0
624,Entertainment Collectibles,0.0
625,Entertainment Collectibles,0.0
626,Entertainment Collectibles,0.0
627,Entertainment Collectibles,5.0
628,Entertainment Collectibles,4.2
629,Entertainment Collectibles,4.2
630,Entertainment Collectibles,4.2
631,Entertainment Collectibles,4.2
632,Entertainment Collectibles,4.2
633,Entertainment Collectibles,4.2
634,Entertainment Collectibles,4.2
635,Entertainment Collectibles,5.0
636,Gift Cards,2.6
637,Gift Cards,2.6
638,Gift Cards,2.6
639,Gift Cards,2.6
640,Gift Cards,2.6
641,Gift Cards,2.6
642,Gift Cards,2.6
643,Gift Cards,4.0
644,Gift Cards,3.8
645,Gift Cards,2.5
646,Gift Cards,2.6
647,Gift Cards,2.6
648,Gift Cards,4.1
649,Gift Cards,2.3
650,Gift Cards,2.8
651,Gift Cards,3.8
652,Gift Cards,3.4
653,Gift Cards,2.6
654,Gift Cards,2.0
655,Gift Cards,3.4
656,Gift Cards,2.6
657,Gift Cards,4.1
658,Gift Cards,2.6
659,Gift Cards,3.7
660,Gift Cards,2.6
661,Gift Cards,2.6
662,Gift Cards,2.6
663,Gift Cards,4.8
664,Gift Cards,2.6
665,Gift Cards,2.6
666,Grocery & Gourmet Food,4.1
667,Grocery & Gourmet Food,2.9
668,Grocery & Gourmet Food,5.0
669,Grocery & Gourmet Food,2.8
670,Grocery & Gourmet Food,4.6
671,Grocery & Gourmet Food,3.5
672,Grocery & Gourmet Food,3.7
673,Grocery & Gourmet Food,4.0
674,Grocery & Gourmet Food,3.2
675,Grocery & Gourmet Food,1.9
676,Grocery & Gourmet Food,4.1
677,Grocery & Gourmet Food,4.6
678,Grocery & Gourmet Food,4.6
679,Grocery & Gourmet Food,4.9
680,Grocery & Gourmet Food,5.0
681,Grocery & Gourmet Food,3.5
682,Grocery & Gourmet Food,4.2
683,Grocery & Gourmet Food,3.4
684,Grocery & Gourmet Food,2.6
685,Grocery & Gourmet Food,3.3
686,Grocery & Gourmet Food,5.0
687,Grocery & Gourmet Food,4.0
688,Grocery & Gourmet Food,3.9
689,Grocery & Gourmet Food,4.7
690,Grocery & Gourmet Food,3.5
691,Grocery & Gourmet Food,3.8
692,Grocery & Gourmet Food,4.9
693,Grocery & Gourmet Food,4.0
694,Grocery & Gourmet Food,4.4
695,Grocery & Gourmet Food,2.8
696,Handmade Products,5.0
697,Handmade Products,4.6
698,Handmade Products,5.0
699,Handmade Products,5.0
700,Handmade Products,5.0
701,Handmade Products,5.0
702,Handmade Products,3.6
703,Handmade Products,5.0
704,Handmade Products,5.0
705,Handmade Products,5.0
706,Handmade Products,3.8
707,Handmade Products,5.0
708,Handmade Products,4.3
709,Handmade Products,5.0
710,Handmade Products,4.8
711,Handmade Products,4.6
712,Handmade Products,4.3
713,Handmade Products,4.2
714,Handmade Products,4.6
715,Handmade Products,5.0
716,Handmade Products,5.0
717,Handmade Products,5.0
718,Handmade Products,4.0
719,Handmade Products,4.555555555555555
720,Handmade Products,4.8
721,Handmade Products,5.0
722,Handmade Products,4.8
723,Handmade Products,5.0
724,Handmade Products,3.8
725,Handmade Products,4.8
726,Health & Household,2.2
727,Health & Household,2.1
728,Health & Household,5.0
729,Health & Household,3.9
730,Health & Household,5.0
731,Health & Household,3.0
732,Health & Household,4.1
733,Health & Household,4.5
734,Health & Household,3.4
735,Health & Household,5.0
736,Health & Household,3.0
737,Health & Household,2.2
738,Health & Household,3.5
739,Health & Household,3.0
740,Health & Household,3.5
741,Health & Household,3.2
742,Health & Household,0.0
743,Health & Household,4.1
744,Health & Household,3.4
745,Health & Household,4.8
746,Health & Household,4.6
747,Health & Household,3.8
748,Health & Household,0.0
749,Health & Household,0.0
750,Health & Household,4.0
