ID,category,average_cost
0,Amazon Devices & Accessories,39.99
1,Amazon Devices & Accessories,144.98
2,Amazon Devices & Accessories,29.99
3,Amazon Devices & Accessories,54.99
4,Amazon Devices & Accessories,24.99
5,Amazon Devices & Accessories,63.98
6,Amazon Devices & Accessories,164.99
7,Amazon Devices & Accessories,39.99
8,Amazon Devices & Accessories,59.99
9,Amazon Devices & Accessories,139.99
10,Amazon Devices & Accessories,39.99
11,Amazon Devices & Accessories,29.99
12,Amazon Devices & Accessories,84.98
13,Amazon Devices & Accessories,34.99
14,Amazon Devices & Accessories,29.99
15,Amazon Devices & Accessories,34.99
16,Amazon Devices & Accessories,59.99
17,Amazon Devices & Accessories,94.99
18,Amazon Devices & Accessories,59.99
19,Amazon Devices & Accessories,39.99
20,Amazon Devices & Accessories,14.75
21,Amazon Devices & Accessories,239.99
22,Amazon Devices & Accessories,9.99
23,Amazon Devices & Accessories,34.99
24,Amazon Devices & Accessories,189.99
25,Amazon Devices & Accessories,129.99
26,Amazon Devices & Accessories,59.99
27,Amazon Devices & Accessories,169.98
28,Amazon Devices & Accessories,99.99
29,Amazon Devices & Accessories,81.67
30,Amazon Devices & Accessories,29.99
31,Amazon Devices & Accessories,1.99
32,Amazon Devices & Accessories,89.99
33,Amazon Devices & Accessories,189.99
34,Amazon Devices & Accessories,102.48
35,Amazon Devices & Accessories,139.99
36,Amazon Devices & Accessories,149.99
37,Amazon Devices & Accessories,89.99
38,Amazon Devices & Accessories,89.99
39,Amazon Devices & Accessories,219.99
40,Amazon Devices & Accessories,39.99
41,Amazon Devices & Accessories,99.99
42,Amazon Devices & Accessories,59.99
43,Amazon Devices & Accessories,17.99
44,Amazon Devices & Accessories,59.99
45,Amazon Devices & Accessories,179.99
46,Amazon Devices & Accessories,14.99
47,Amazon Devices & Accessories,99.99
48,Amazon Devices & Accessories,18.99
49,Amazon Devices & Accessories,169.99
50,Amazon Explore,37.15
51,Amazon Explore,30.75
52,Amazon Explore,30.75
53,Amazon Explore,17.4
54,Amazon Explore,59.5
55,Amazon Explore,99.45
56,Amazon Explore,25.0
57,Amazon Explore,15.25
58,Amazon Explore,12.5
59,Amazon Explore,39.75
60,Amazon Explore,34.3
61,Amazon Explore,30.75
62,Amazon Explore,55.65
63,Amazon Explore,245.0
64,Amazon Explore,49.5
65,Amazon Explore,30.0
66,Amazon Explore,12.65
67,Amazon Explore,39.75
68,Amazon Explore,48.3
69,Amazon Explore,39.75
70,Amazon Explore,45.65
71,Amazon Explore,30.75
72,Amazon Explore,10.0
73,Amazon Explore,21.0
